,record_id,month,day,year,plot,species,sex,wgt
0,1,7,16,1977,2,NL,M,
1,2,7,16,1977,3,NL,M,
2,3,7,16,1977,2,DM,F,
3,4,7,16,1977,7,DM,M,
4,5,7,16,1977,3,DM,M,
5,6,7,16,1977,1,PF,M,
6,7,7,16,1977,2,PE,F,
7,8,7,16,1977,1,DM,M,
8,9,7,16,1977,1,DM,F,
9,10,7,16,1977,6,PF,F,
35539,35540,12,31,2002,15,PB,F,23.0
35540,35541,12,31,2002,15,PB,F,31.0
35541,35542,12,31,2002,15,PB,F,29.0
35542,35543,12,31,2002,15,PB,F,34.0
35543,35544,12,31,2002,15,US,,
35544,35545,12,31,2002,15,AH,,
35545,35546,12,31,2002,15,AH,,
35546,35547,12,31,2002,10,RM,F,14.0
35547,35548,12,31,2002,7,DO,M,51.0
